FeatureName,Count
Intensity_CoefficientOfVariation,33
Intensity_Energy,33
Intensity_InterQuartileRange,33
Intensity_Kurtosis,33
Intensity_Maximum,33
Intensity_Mean,33
Intensity_MeanAbsoluteDeviation,33
Intensity_Median,33
Intensity_MedianAbsoluteDeviation,33
Intensity_Minimum,33
Intensity_Mode,33
Intensity_NinetiethPercentile,33
Intensity_QuartileCoefficientOfVariation,33
Intensity_Range,33
Intensity_RootMeanSquare,33
Intensity_Skewness,33
Intensity_StandardDeviation,33
Intensity_Sum,33
Intensity_TenthPercentile,33
Intensity_Variance,33
Histogram_Bins-16_Bins-16_Bin-0_Frequency,33
Histogram_Bins-16_Bins-16_Bin-0_Probability,33
Histogram_Bins-16_Bins-16_Bin-10_Frequency,33
Histogram_Bins-16_Bins-16_Bin-10_Probability,33
Histogram_Bins-16_Bins-16_Bin-11_Frequency,33
Histogram_Bins-16_Bins-16_Bin-11_Probability,33
Histogram_Bins-16_Bins-16_Bin-12_Frequency,33
Histogram_Bins-16_Bins-16_Bin-12_Probability,33
Histogram_Bins-16_Bins-16_Bin-13_Frequency,33
Histogram_Bins-16_Bins-16_Bin-13_Probability,33
Histogram_Bins-16_Bins-16_Bin-14_Frequency,33
Histogram_Bins-16_Bins-16_Bin-14_Probability,33
Histogram_Bins-16_Bins-16_Bin-15_Frequency,33
Histogram_Bins-16_Bins-16_Bin-15_Probability,33
Histogram_Bins-16_Bins-16_Bin-1_Frequency,33
Histogram_Bins-16_Bins-16_Bin-1_Probability,33
Histogram_Bins-16_Bins-16_Bin-2_Frequency,33
Histogram_Bins-16_Bins-16_Bin-2_Probability,33
Histogram_Bins-16_Bins-16_Bin-3_Frequency,33
Histogram_Bins-16_Bins-16_Bin-3_Probability,33
Histogram_Bins-16_Bins-16_Bin-4_Frequency,33
Histogram_Bins-16_Bins-16_Bin-4_Probability,33
Histogram_Bins-16_Bins-16_Bin-5_Frequency,33
Histogram_Bins-16_Bins-16_Bin-5_Probability,33
Histogram_Bins-16_Bins-16_Bin-6_Frequency,33
Histogram_Bins-16_Bins-16_Bin-6_Probability,33
Histogram_Bins-16_Bins-16_Bin-7_Frequency,33
Histogram_Bins-16_Bins-16_Bin-7_Probability,33
Histogram_Bins-16_Bins-16_Bin-8_Frequency,33
Histogram_Bins-16_Bins-16_Bin-8_Probability,33
Histogram_Bins-16_Bins-16_Bin-9_Frequency,33
Histogram_Bins-16_Bins-16_Bin-9_Probability,33
Histogram_Bins-16_Bins-16_CoefficientOfVariation,33
Histogram_Bins-16_Bins-16_Energy,33
Histogram_Bins-16_Bins-16_Entropy,33
Histogram_Bins-16_Bins-16_FifthPercentile,33
Histogram_Bins-16_Bins-16_FifthPercentileMean,33
Histogram_Bins-16_Bins-16_InterQuartileRange,33
Histogram_Bins-16_Bins-16_Kurtosis,33
Histogram_Bins-16_Bins-16_Maximum,33
Histogram_Bins-16_Bins-16_Mean,33
Histogram_Bins-16_Bins-16_MeanAbsoluteDeviation,33
Histogram_Bins-16_Bins-16_Median,33
Histogram_Bins-16_Bins-16_MedianAbsoluteDeviation,33
Histogram_Bins-16_Bins-16_Minimum,33
Histogram_Bins-16_Bins-16_Mode,33
Histogram_Bins-16_Bins-16_NinetiethPercentile,33
Histogram_Bins-16_Bins-16_NinetyFifthPercentile,33
Histogram_Bins-16_Bins-16_NinetyFifthPercentileMean,33
Histogram_Bins-16_Bins-16_QuartileCoefficientOfVariation,33
Histogram_Bins-16_Bins-16_Range,33
Histogram_Bins-16_Bins-16_RobustMeanAbsoluteDeviation1090,33
Histogram_Bins-16_Bins-16_RootMeanSquare,33
Histogram_Bins-16_Bins-16_SeventyFifthPercentile,33
Histogram_Bins-16_Bins-16_Skewness,33
Histogram_Bins-16_Bins-16_StandardDeviation,33
Histogram_Bins-16_Bins-16_Sum,33
Histogram_Bins-16_Bins-16_TenthPercentile,33
Histogram_Bins-16_Bins-16_TwentyFifthPercentile,33
Histogram_Bins-16_Bins-16_Uniformity,33
Histogram_Bins-16_Bins-16_Variance,33
Volumetric_Pixels,33
Volumetric_Volume,33
Morphologic_Eccentricity,33
Morphologic_EllipseDiameter_Axis-0,33
Morphologic_EllipseDiameter_Axis-1,33
Morphologic_EllipseDiameter_Axis-2,33
Morphologic_Elongation,33
Morphologic_EquivalentSphericalPerimeter,33
Morphologic_EquivalentSphericalRadius,33
Morphologic_Flatness,33
Morphologic_LargestComponentSize,33
Morphologic_NumberOfPixels,33
Morphologic_OrientedBoundingBoxSize_Axis-0,33
Morphologic_OrientedBoundingBoxSize_Axis-1,33
Morphologic_OrientedBoundingBoxSize_Axis-2,33
Morphologic_Perimeter,33
Morphologic_PerimeterOnBorder,33
Morphologic_PerimeterOnBorderRatio,33
Morphologic_PhysicalSize,33
Morphologic_PixelsOnBorder,33
Morphologic_Roundness,33
GLCM_Bins-16_Radius-1_AutoCorrelation,33
GLCM_Bins-16_Radius-1_ClusterProminence,33
GLCM_Bins-16_Radius-1_ClusterShade,33
GLCM_Bins-16_Radius-1_Contrast,33
GLCM_Bins-16_Radius-1_Correlation,33
GLCM_Bins-16_Radius-1_Energy,33
GLCM_Bins-16_Radius-1_Entropy,33
GLCM_Bins-16_Radius-1_Homogeneity,33
GLRLM_Bins-16_Radius-1_GreyLevelNonuniformity,33
GLRLM_Bins-16_Radius-1_HighGreyLevelRunEmphasis,33
GLRLM_Bins-16_Radius-1_LongRunEmphasis,33
GLRLM_Bins-16_Radius-1_LongRunHighGreyLevelEmphasis,33
GLRLM_Bins-16_Radius-1_LongRunLowGreyLevelEmphasis,33
GLRLM_Bins-16_Radius-1_LowGreyLevelRunEmphasis,33
GLRLM_Bins-16_Radius-1_RunLengthNonuniformity,33
GLRLM_Bins-16_Radius-1_ShortRunEmphasis,33
GLRLM_Bins-16_Radius-1_ShortRunHighGreyLevelEmphasis,33
GLRLM_Bins-16_Radius-1_ShortRunLowGreyLevelEmphasis,33
GLSZM_Bins-16_Radius-1_GreyLevelMean,33
GLSZM_Bins-16_Radius-1_GreyLevelNonUniformity,33
GLSZM_Bins-16_Radius-1_GreyLevelNonUniformityNormalized,33
GLSZM_Bins-16_Radius-1_GreyLevelVariance,33
GLSZM_Bins-16_Radius-1_HighGreyLevelEmphasis,33
GLSZM_Bins-16_Radius-1_LargeZoneEmphasis,33
GLSZM_Bins-16_Radius-1_LargeZoneHighGreyLevelEmphasis,33
GLSZM_Bins-16_Radius-1_LargeZoneLowGreyLevelEmphasis,33
GLSZM_Bins-16_Radius-1_LowGreyLevelEmphasis,33
GLSZM_Bins-16_Radius-1_SmallZoneEmphasis,33
GLSZM_Bins-16_Radius-1_SmallZoneHighGreyLevelEmphasis,33
GLSZM_Bins-16_Radius-1_SmallZoneLowGreyLevelEmphasis,33
GLSZM_Bins-16_Radius-1_ZonePercentage,33
GLSZM_Bins-16_Radius-1_ZoneSizeEntropy,33
GLSZM_Bins-16_Radius-1_ZoneSizeMean,33
GLSZM_Bins-16_Radius-1_ZoneSizeNonUniformity,33
GLSZM_Bins-16_Radius-1_ZoneSizeNoneUniformityNormalized,33
GLSZM_Bins-16_Radius-1_ZoneSizeVariance,33
NGTDM_Busyness,33
NGTDM_Coarsness,33
NGTDM_Complexity,33
NGTDM_Contrast,33
NGTDM_Strength,33
LBP_Radius-1_Bins-16_LBP,33
