Model,FPR,TPR,ROC
BFR,0.0,0.11617161716171616,0.8532697425953208
BFR,0.00847457627118644,0.18283828382838285,0.8532697425953208
BFR,0.009433962264150943,0.22205397010289266,0.8532697425953208
BFR,0.01694915254237288,0.355387303436226,0.8532697425953208
BFR,0.018867924528301886,0.3749951465734809,0.8532697425953208
BFR,0.02830188679245283,0.39460298971073576,0.8532697425953208
BFR,0.0423728813559322,0.4612696563774024,0.8532697425953208
BFR,0.045454545454545456,0.47777130654241895,0.8532697425953208
BFR,0.05660377358490566,0.49737914967967384,0.8532697425953208
BFR,0.0660377358490566,0.5365948359541836,0.8532697425953208
BFR,0.09090909090909091,0.5695981362842166,0.8532697425953208
BFR,0.11320754716981132,0.5892059794214716,0.8532697425953208
BFR,0.12264150943396226,0.6284216656959815,0.8532697425953208
BFR,0.13636363636363635,0.6911279363230441,0.8532697425953208
BFR,0.18181818181818182,0.7274315666860804,0.8532697425953208
BFR,0.19811320754716982,0.7470394098233353,0.8532697425953208
BFR,0.22727272727272727,0.7701417200543584,0.8532697425953208
BFR,0.25471698113207547,0.7897495631916134,0.8532697425953208
BFR,0.2727272727272727,0.7930498932246167,0.8532697425953208
BFR,0.3181818181818182,0.79635022325762,0.8532697425953208
BFR,0.36363636363636365,0.8029508833236264,0.8532697425953208
BFR,0.4056603773584906,0.8225587264608812,0.8532697425953208
BFR,0.4090909090909091,0.8621626868569209,0.8532697425953208
BFR,0.4528301886792453,0.9013783731314308,0.8532697425953208
BFR,0.45454545454545453,0.9211803533294506,0.8532697425953208
BFR,0.4716981132075472,0.9407881964667055,0.8532697425953208
BFR,0.5,0.9539895165987188,0.8532697425953208
BFR,0.5454545454545454,0.957289846631722,0.8532697425953208
BFR,0.6363636363636364,0.9605901766647253,0.8532697425953208
BFR,0.6792452830188679,0.9801980198019802,0.8532697425953208
BFR,0.6818181818181818,0.9900990099009901,0.8532697425953208
BFR,0.7727272727272727,0.9933993399339934,0.8532697425953208
BFR,0.9545454545454546,1.0,0.8532697425953208
BFR,1.0,1.0,0.8532697425953208
